att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
0,7,0.012969302025481,0.394792641388144,2.66326140969302,6.95224964758957e-14,0.0999233961514668,0.12803017334637,4.11239344836376,0.5,0.0240360608078548,3.08359061828403,0.647618337869077,1.39044992951791e-13,4.1572284639425
0,8,0.0886844756005024,0.149861995232492,4.50364604302299,1.13607078621918e-11,0.0595737795089579,0.123018995784713,2.39864230353775,0.5,0.0519483575912627,1.21820206933534,1.87758134523875,2.27214157243837e-11,1.1467885082661
0,9,0.0788992558620286,0.203542509167055,4.51151744503752,2.67005164084695e-14,0.348083150013059,0.261357899392182,1.07589299072589,0.5,0.0344519392922034,0.778788433946007,4.19327710462511,5.3401032816939e-14,10.1034414074865
0,10,0.141985121365453,0.199218881871706,3.56326832235628,3.10373965459687e-14,0.0554935740576239,0.180475635859581,4.42551642432213,0.5,0.035415930409289,1.10385471658184,0.805164410366432,6.20747930919375e-14,1.56690995877575
0,11,0.266591285423125,0.122470574460386,5.09485945525364,3.34601286025776e-15,0.0167826147794631,0.147012408846433,2.63740882417442,0.5,2.87645252117278e-14,0.833062837493649,1.93176704671429,6.69202572051551e-15,583448350213.703
0,12,0.0756924091734242,0.19613576632276,2.82542918454641,2.9957378636499e-12,0.153222712174458,0.141037371896242,1.72800281963459,0.5,4.43023422655795e-13,1.39066520941026,1.6350836656296,5.9914757272998e-12,345856910354.611
0,13,0.160189496593348,0.161708607694748,6.99400438084009,0.0171861804421857,0.0553883694236064,0.158948767708721,6.45473146218321,0.5,0.0349150180152422,1.0173630788449,1.08354691776356,0.0343723608843713,1.58637665314755
0,14,0.0386746970505072,0.17750226741335,2.84006139033356,7.63467417953513e-13,0.0507222659820298,0.162667117647897,1.67247716014358,0.5,6.7973250853494e-13,1.09119943833741,1.69811669660694,1.52693483590703e-12,74620921237.6115
0,15,0.175327585844407,0.161454626882927,3.13729555009433,6.50288354333048e-14,0.0309817088838166,0.147415039446633,2.39799801598257,0.5,0.0527749446148704,1.09523850136998,1.30829780891576,1.3005767086661e-13,0.587053366136304
1,1,0.10108874856549,0.167415059498834,3.79840757125449,7.09641347448928e-13,0.0409862350299805,0.170955989118942,3.93297057802458,0.5,0.00711416093063749,0.979287478383434,0.965785910649328,1.41928269489786e-12,5.76121842471559
1,2,0.0299043718373047,0.166012415663897,4.14955764834948,5.208014668776e-13,0.0257839274947258,0.128615890217677,6.15242091030538,0.5,0.0338134865610777,1.29076131559583,0.674459324035995,1.0416029337552e-12,0.762533832414825
1,3,0.306356605061548,0.0771102553399845,2.00256616620444,0.000523020831533877,1.19028843899081e-15,0.107039100043757,4.66183956563348,0.5,0.00750889662846423,0.720393345127737,0.429565654933111,0.00104604166306775,1.58517089512025e-13
1,4,0.00488056628586864,0.36931682051873,3.29815245076527,2.20914778094116e-14,0.446716211626201,0.212358611177448,2.90545635572072,0.5,0.0429375981662186,1.73911864685406,1.1351581462483,4.41829556188233e-14,10.4038472272456
1,5,0.0697376123041475,0.184197832922507,3.66712221289741,8.48093556786302e-14,0.0733027867924561,0.133939737397149,3.86336374945758,0.5,0.0262671496399869,1.37522916277144,0.949204488811668,1.6961871135726e-13,2.7906639204151
1,6,0.102080453604515,0.192457398773322,3.14543053227526,4.34498184925615e-05,0.023991741619921,0.149067723260214,2.6069499197026,0.5,0.0263426364351388,1.29107357759376,1.20655579476344,8.6899636985123e-05,0.910757041308064
1,7,0.0139550080307723,0.327667434508596,2.89315229171385,8.76988029803112e-15,0.110092012296632,0.11831628483347,4.73001013995805,0.5,0.0346894479585206,2.76941956865691,0.611658792710221,1.75397605960622e-14,3.17364555435627
1,8,0.0603158891101497,0.146440876752996,4.7523830432562,7.45369396755592e-13,0.0154936200946489,0.107336863479637,6.69564996604679,0.5,0.0540485687357282,1.3643111229981,0.7097717275179,1.49073879351118e-12,0.286661061653738
1,9,0.0740984811255773,0.272493371192077,2.39289370127431,8.85159683519428e-14,0.0176293448033841,0.214879470193061,2.15457707199747,0.5,3.5663605007455e-13,1.26812194272096,1.110609470589,1.77031936703886e-13,49432312857.04
1,10,0.105799948459686,0.20943253209597,3.68571927056859,7.98171481771217e-13,0.0248964963210501,0.17414455336617,3.28479626528222,0.5,0.0255285455059582,1.20263613215396,1.1220541467134,1.59634296354243e-12,0.975241472932306
1,11,0.295168808240899,0.119795915328938,7.35274411941669,0.0144226675537519,0.0222778077282332,0.13114466348333,6.30832595073,0.5,0.029190546073782,0.913463896639344,1.16556185854122,0.0288453351075038,0.763185713344442
1,12,0.0402219097265223,0.181325827783158,3.6859889825015,1.09060501506732e-13,0.116563782506583,0.110664548561116,3.56285708899642,0.5,0.0133829655909709,1.63851775605463,1.03455987440118,2.18121003013463e-13,8.7098619296477
1,13,0.113909135729028,0.162887254551962,7.48801445084837,0.0055611217545558,0.0408697643554517,0.152251585894176,5.64554481455878,0.5,0.0184126894737697,1.06985588094418,1.32635816326145,0.0111222435091116,2.21965207275526
1,14,0.0556724039788371,0.147038617124794,5.18007614500268,5.69565907788593e-15,0.0493813905337454,0.131985540494617,6.01901189820312,0.5,0.0323719594055926,1.11405095265561,0.860619023954597,1.13913181557719e-14,1.52543718206981
1,15,0.183440633186437,0.127244462433701,4.20025840109271,1.22562759551742e-14,0.0193732129774343,0.126713327230605,3.14260354393085,0.5,0.0152843227356328,1.00419162857376,1.3365537021698,2.45125519103483e-14,1.26752184656955
