site,att,subjectID,contrast,pCorrect,pSeen
0,-1,10,8,0.729166666666667,0.708333333333333
0,-1,11,1,-1,0.173913043478261
0,-1,11,2,0.538461538461538,0.333333333333333
0,-1,11,3,0.525,0.325
0,-1,11,4,0.512820512820513,0.333333333333333
0,-1,11,5,0.461538461538462,0.333333333333333
0,-1,11,6,0.538461538461538,0.538461538461538
0,-1,11,7,0.605263157894737,0.473684210526316
0,-1,11,8,0.625,0.5
0,-1,12,1,-1,0.136904761904762
0,-1,12,2,0.458333333333333,0.270833333333333
0,-1,12,3,0.5625,0.395833333333333
0,-1,12,4,0.645833333333333,0.458333333333333
0,-1,12,5,0.583333333333333,0.645833333333333
0,-1,12,6,0.541666666666667,0.5625
0,-1,12,7,0.770833333333333,0.666666666666667
0,-1,12,8,0.75,0.770833333333333
0,-1,13,1,-1,0.0625
0,-1,13,2,0.541666666666667,0.145833333333333
0,-1,13,3,0.458333333333333,0.25
0,-1,13,4,0.5625,0.3125
0,-1,13,5,0.520833333333333,0.291666666666667
0,-1,13,6,0.479166666666667,0.375
0,-1,13,7,0.5625,0.645833333333333
0,-1,13,8,0.583333333333333,0.666666666666667
0,-1,14,1,-1,0.0785714285714286
0,-1,14,2,0.6,0.125
0,-1,14,3,0.575,0.125
0,-1,14,4,0.45,0.1
0,-1,14,5,0.6,0.275
0,-1,14,6,0.525,0.275
0,-1,14,7,0.7,0.475
0,-1,14,8,0.5,0.575
0,-1,15,1,-1,0.80952380952381
0,-1,15,2,0.625,0.854166666666667
0,-1,15,3,0.729166666666667,0.875
0,-1,15,4,0.8125,0.895833333333333
0,-1,15,5,0.791666666666667,0.875
0,-1,15,6,0.875,1
0,-1,15,7,0.708333333333333,0.979166666666667
0,-1,15,8,0.6875,0.958333333333333
1,-1,16,1,-1,0.0416666666666667
1,-1,16,2,0.5,0.0208333333333333
1,-1,16,3,0.5,0.0208333333333333
1,-1,16,4,0.604166666666667,0.270833333333333
1,-1,16,5,0.5625,0.270833333333333
1,-1,16,6,0.625,0.416666666666667
1,-1,16,7,0.666666666666667,0.3125
1,-1,16,8,0.875,0.8125
1,-1,17,1,-1,0.154017857142857
1,-1,17,2,0.5,0.203125
1,-1,17,3,0.515625,0.28125
1,-1,17,4,0.578125,0.4375
1,-1,17,5,0.578125,0.5
1,-1,17,6,0.65625,0.4375
1,-1,17,7,0.765625,0.625
1,-1,17,8,0.828125,0.953125
1,-1,18,1,-1,0.143497757847534
1,-1,18,2,0.53125,0.125
1,-1,18,3,0.71875,0.15625
1,-1,18,4,0.4375,0.3125
1,-1,18,5,0.59375,0.5625
1,-1,18,6,0.59375,0.6875
1,-1,18,7,0.65625,0.6875
1,-1,18,8,0.75,0.96875
1,-1,19,1,-1,0.278571428571429
1,-1,19,2,0.475,0.425
1,-1,19,3,0.575,0.575
1,-1,19,4,0.55,0.475
1,-1,19,5,0.65,0.625
1,-1,19,6,0.525,0.6
1,-1,19,7,0.975,0.975
1,-1,19,8,0.825,0.925
1,-1,20,1,-1,0.407942238267148
1,-1,20,2,0.58974358974359,0.41025641025641
1,-1,20,3,0.675,0.725
1,-1,20,4,0.625,0.525
1,-1,20,5,0.475,0.725
1,-1,20,6,0.675,0.875
1,-1,20,7,0.4,0.8
1,-1,20,8,0.5,0.85
1,-1,21,1,-1,0.348214285714286
1,-1,21,2,0.583333333333333,0.375
1,-1,21,3,0.583333333333333,0.333333333333333
1,-1,21,4,0.375,0.520833333333333
1,-1,21,5,0.458333333333333,0.541666666666667
1,-1,21,6,0.479166666666667,0.666666666666667
1,-1,21,7,0.4375,0.5625
1,-1,21,8,0.8125,0.916666666666667
1,-1,22,1,-1,0.0714285714285714
1,-1,22,2,0.7,0.05
1,-1,22,3,0.625,0.05
1,-1,22,4,0.75,0.05
1,-1,22,5,0.85,0.075
1,-1,22,6,0.875,0.275
1,-1,22,7,0.75,0.15
1,-1,22,8,0.9,0.375
1,-1,23,1,-1,0.0773809523809524
1,-1,23,2,0.5,0.1875
1,-1,23,3,0.5,0.333333333333333
1,-1,23,4,0.6875,0.583333333333333
1,-1,23,5,0.645833333333333,0.5625
1,-1,23,6,0.770833333333333,0.666666666666667
1,-1,23,7,0.8125,0.6875
1,-1,23,8,0.6875,0.708333333333333
1,-1,24,1,-1,0.785714285714286
1,-1,24,2,0.425,0.925
1,-1,24,3,0.55,0.95
1,-1,24,4,0.65,0.825
1,-1,24,5,0.525,0.925
1,-1,24,6,0.625,0.95
1,-1,24,7,0.725,0.975
1,-1,24,8,0.825,0.95
1,-1,25,1,-1,0.103571428571429
1,-1,25,2,0.575,0.175
1,-1,25,3,0.487179487179487,0.384615384615385
1,-1,25,4,0.55,0.425
1,-1,25,5,0.575,0.625
1,-1,25,6,0.525,0.775
1,-1,25,7,0.7,0.9
1,-1,25,8,0.625,0.875
1,-1,26,1,-1,0.797619047619048
1,-1,26,2,0.375,0.8125
1,-1,26,3,0.5625,0.791666666666667
1,-1,26,4,0.666666666666667,0.875
1,-1,26,5,0.541666666666667,0.770833333333333
1,-1,26,6,0.666666666666667,0.875
1,-1,26,7,0.5625,0.833333333333333
1,-1,26,8,0.75,0.9375
1,-1,27,1,-1,0.110119047619048
1,-1,27,2,0.5,0.125
1,-1,27,3,0.583333333333333,0.4375
1,-1,27,4,0.6875,0.5
1,-1,27,5,0.604166666666667,0.6875
1,-1,27,6,0.6875,0.708333333333333
1,-1,27,7,0.75,0.854166666666667
1,-1,27,8,0.833333333333333,0.958333333333333
1,-1,28,1,-1,0.782089552238806
1,-1,28,2,0.520833333333333,0.770833333333333
1,-1,28,3,0.645833333333333,0.8125
1,-1,28,4,0.5625,0.916666666666667
1,-1,28,5,0.416666666666667,0.895833333333333
1,-1,28,6,0.6875,0.895833333333333
1,-1,28,7,0.666666666666667,0.9375
1,-1,28,8,0.729166666666667,0.9375
1,-1,29,1,-1,0.330357142857143
1,-1,29,2,0.520833333333333,0.291666666666667
1,-1,29,3,0.458333333333333,0.5
1,-1,29,4,0.5625,0.333333333333333
1,-1,29,5,0.583333333333333,0.541666666666667
1,-1,29,6,0.708333333333333,0.5625
1,-1,29,7,0.645833333333333,0.729166666666667
1,-1,29,8,0.770833333333333,0.833333333333333
1,-1,30,1,-1,0.125
1,-1,30,2,0.475,0.2
1,-1,30,3,0.525,0.45
1,-1,30,4,0.575,0.5
1,-1,30,5,0.7,0.55
1,-1,30,6,0.75,0.725
1,-1,30,7,0.875,0.8
1,-1,30,8,0.925,0.975
0,0,1,1,-1,0.0446428571428571
