site,att,subjectID,contrast,pCorrect,pSeen
0,-1,15,4,0.552083333333333,0.291666666666667
0,-1,15,5,0.59375,0.354166666666667
0,-1,15,6,0.666666666666667,0.458333333333333
0,-1,15,7,0.739583333333333,0.552083333333333
1,-1,16,1,0.575,0.175
1,-1,16,2,0.5,0.2
1,-1,16,3,0.6,0.2375
1,-1,16,4,0.6,0.2875
1,-1,16,5,0.6625,0.425
1,-1,16,6,0.7375,0.625
1,-1,16,7,0.8125,0.725
1,-1,17,1,0.458333333333333,0.0104166666666667
1,-1,17,2,0.5,0.03125
1,-1,17,3,0.604166666666667,0.0208333333333333
1,-1,17,4,0.614583333333333,0.0208333333333333
1,-1,17,5,0.6875,0.0208333333333333
1,-1,17,6,0.760416666666667,0.0833333333333333
1,-1,17,7,0.8125,0.15625
1,-1,18,1,0.6,0.1
1,-1,18,2,0.6625,0.1375
1,-1,18,3,0.75,0.2875
1,-1,18,4,0.8,0.3625
1,-1,18,5,0.8875,0.575
1,-1,18,6,0.8375,0.5875
1,-1,18,7,0.925,0.775
1,-1,19,1,0.6,0.1
1,-1,19,2,0.6,0.05
1,-1,19,3,0.625,0.1125
1,-1,19,4,0.769230769230769,0.141025641025641
1,-1,19,5,0.75,0.2125
1,-1,19,6,0.875,0.2125
1,-1,19,7,0.9125,0.5
1,-1,20,1,0.575,0.1125
1,-1,20,2,0.5375,0.1125
1,-1,20,3,0.55,0.15
1,-1,20,4,0.525,0.1
1,-1,20,5,0.55,0.1
1,-1,20,6,0.65,0.2125
1,-1,20,7,0.7375,0.25
1,-1,21,1,0.572916666666667,0.864583333333333
1,-1,21,2,0.645833333333333,0.90625
1,-1,21,3,0.729166666666667,0.895833333333333
1,-1,21,4,0.645833333333333,0.947916666666667
1,-1,21,5,0.75,0.927083333333333
1,-1,21,6,0.708333333333333,0.875
1,-1,21,7,0.760416666666667,0.947916666666667
1,-1,22,1,0.625,0.3625
1,-1,22,2,0.5,0.35
1,-1,22,3,0.5875,0.45
1,-1,22,4,0.675,0.5625
1,-1,22,5,0.7125,0.675
1,-1,22,6,0.8375,0.775
1,-1,22,7,0.8875,0.8625
1,-1,23,1,0.5625,0.2125
1,-1,23,2,0.575,0.275
1,-1,23,3,0.625,0.25
1,-1,23,4,0.5875,0.2375
1,-1,23,5,0.625,0.4125
1,-1,23,6,0.65,0.5125
1,-1,23,7,0.7125,0.5125
1,-1,24,1,0.46875,0.03125
1,-1,24,2,0.479166666666667,0.0104166666666667
1,-1,24,3,0.5625,0.15625
1,-1,24,4,0.65625,0.385416666666667
1,-1,24,5,0.770833333333333,0.416666666666667
1,-1,24,6,0.802083333333333,0.65625
1,-1,24,7,0.822916666666667,0.770833333333333
1,-1,25,1,0.660714285714286,0.169642857142857
1,-1,25,2,0.642857142857143,0.205357142857143
1,-1,25,3,0.75,0.339285714285714
1,-1,25,4,0.651785714285714,0.428571428571429
1,-1,25,5,0.776785714285714,0.491071428571429
1,-1,25,6,0.776785714285714,0.589285714285714
1,-1,25,7,0.776785714285714,0.580357142857143
1,-1,26,1,0.635416666666667,0.302083333333333
1,-1,26,2,0.645833333333333,0.34375
1,-1,26,3,0.78125,0.385416666666667
1,-1,26,4,0.833333333333333,0.510416666666667
1,-1,26,5,0.84375,0.552083333333333
1,-1,26,6,0.78125,0.635416666666667
1,-1,26,7,0.895833333333333,0.65625
1,-1,27,1,0.541666666666667,0.03125
1,-1,27,2,0.541666666666667,0.03125
1,-1,27,3,0.625,0.0833333333333333
1,-1,27,4,0.71875,0.125
1,-1,27,5,0.75,0.197916666666667
1,-1,27,6,0.791666666666667,0.40625
1,-1,27,7,0.927083333333333,0.541666666666667
1,-1,28,1,0.604166666666667,0.322916666666667
1,-1,28,2,0.666666666666667,0.385416666666667
1,-1,28,3,0.75,0.604166666666667
1,-1,28,4,0.802083333333333,0.708333333333333
1,-1,28,5,0.916666666666667,0.8125
1,-1,28,6,0.947916666666667,0.864583333333333
1,-1,28,7,0.927083333333333,0.947916666666667
1,-1,29,1,0.510416666666667,0.427083333333333
1,-1,29,2,0.645833333333333,0.5
1,-1,29,3,0.708333333333333,0.53125
1,-1,29,4,0.677083333333333,0.6875
1,-1,29,5,0.760416666666667,0.697916666666667
1,-1,29,6,0.802083333333333,0.791666666666667
1,-1,29,7,0.90625,0.854166666666667
1,-1,30,1,0.5625,0.55
1,-1,30,2,0.6125,0.575
1,-1,30,3,0.6375,0.6
1,-1,30,4,0.75,0.6625
1,-1,30,5,0.7375,0.6875
1,-1,30,6,0.772151898734177,0.759493670886076
1,-1,30,7,0.8125,0.85
0,0,1,1,0.510416666666667,0.03125
0,0,1,2,0.604166666666667,0.104166666666667
0,0,1,3,0.697916666666667,0.291666666666667
0,0,1,4,0.864583333333333,0.71875
