expt,subjectID,site,cueValidity,seen,pCorrectSeen,pCorrectSeenFeature
1,039,1,1,1,0.942789034564958,0.965379494007989
2,S0021,0,-1,0,0.523560209424084,0.550200803212851
2,S0021,0,0,0,0.53125,0.61244019138756
2,S0021,0,1,0,0.47588424437299,0.656063618290258
2,S0021,0,-1,1,0.737931034482759,0.804597701149425
2,S0021,0,0,1,0.914772727272727,0.929133858267717
2,S0021,0,1,1,0.981348637015782,0.994059405940594
2,S0049,0,-1,0,0.47741935483871,0.493562231759657
2,S0049,0,0,0,0.515789473684211,0.651428571428571
2,S0049,0,1,0,0.549488054607508,0.650900900900901
2,S0049,0,-1,1,0.721518987341772,0.817610062893082
2,S0049,0,0,1,0.919191919191919,0.95852534562212
2,S0049,0,1,1,0.969387755102041,0.99452804377565
2,S0093,0,-1,0,0.521739130434783,0.522321428571429
2,S0093,0,0,0,0.482014388489209,0.482954545454545
2,S0093,0,1,0,0.489864864864865,0.573232323232323
2,S0093,0,-1,1,0.605263157894737,0.633928571428571
2,S0093,0,0,1,0.756345177664975,0.81875
2,S0093,0,1,1,0.914325842696629,0.929738562091503
2,S0094,0,-1,0,0.492227979274611,0.572327044025157
2,S0094,0,0,0,0.46551724137931,0.65587044534413
2,S0094,0,1,0,0.441717791411043,0.806273062730627
2,S0094,0,-1,1,0.72027972027972,0.888888888888889
2,S0094,0,0,1,0.872727272727273,0.943820224719101
2,S0094,0,1,1,0.979881656804734,0.993562231759657
2,S0009,0,-1,0,0.510344827586207,0.561576354679803
2,S0009,0,0,0,0.474747474747475,0.581699346405229
2,S0009,0,1,0,0.458874458874459,0.66580310880829
2,S0009,0,-1,1,0.743455497382199,0.766917293233083
2,S0009,0,0,1,0.89873417721519,0.934426229508197
2,S0009,0,1,1,0.987129987129987,0.990353697749196
2,S0067,0,-1,0,0.556521739130435,0.582644628099174
2,S0067,0,0,0,0.454545454545455,0.668161434977579
2,S0067,0,1,0,0.539130434782609,0.815195071868583
2,S0067,0,-1,1,0.642424242424242,0.763157894736842
2,S0067,0,0,1,0.789719626168224,0.87719298245614
2,S0067,0,1,1,0.946058091286307,0.994301994301994
2,S0082,0,-1,0,0.496815286624204,0.577235772357724
2,S0082,0,0,0,0.642105263157895,0.664921465968586
2,S0082,0,1,0,0.572727272727273,0.774647887323944
2,S0082,0,-1,1,0.759776536312849,0.8
2,S0082,0,0,1,0.813278008298755,0.896551724137931
2,S0082,0,1,1,0.927616926503341,0.972508591065292
2,S0068,0,-1,0,0.525316455696203,0.567226890756303
2,S0068,0,0,0,0.528301886792453,0.551136363636364
2,S0068,0,1,0,0.561904761904762,0.697297297297297
2,S0068,0,-1,1,0.668539325842697,0.683673469387755
2,S0068,0,0,1,0.791304347826087,0.88125
2,S0068,0,1,1,0.958646616541353,0.979623824451411
2,S0066,0,-1,0,0.459459459459459,0.578073089700997
2,S0066,0,0,0,0.49618320610687,0.660714285714286
2,S0066,0,1,0,0.509090909090909,0.822530864197531
2,S0066,0,-1,1,0.788079470198676,0.857142857142857
2,S0066,0,0,1,0.917073170731707,0.9375
2,S0066,0,1,1,0.989821882951654,0.997206703910615
2,S0063,0,-1,0,0.477611940298507,0.542087542087542
2,S0063,0,0,0,0.482352941176471,0.685121107266436
2,S0063,0,1,0,0.487272727272727,0.757009345794392
2,S0063,0,-1,1,0.613861386138614,0.692307692307692
2,S0063,0,0,1,0.808764940239044,0.978723404255319
2,S0063,0,1,1,0.938608458390177,0.984555984555985
2,S0091,0,-1,0,0.521472392638037,0.492682926829268
2,S0091,0,0,0,0.519230769230769,0.526315789473684
2,S0091,0,1,0,0.448979591836735,0.524390243902439
2,S0091,0,-1,1,0.576576576576577,0.695652173913043
2,S0091,0,0,1,0.772727272727273,0.859375
2,S0091,0,1,1,0.962962962962963,0.977333333333333
2,S0087,0,-1,0,0.451612903225806,0.527522935779816
2,S0087,0,0,0,0.526315789473684,0.613636363636364
2,S0087,0,1,0,0.53968253968254,0.792792792792793
2,S0087,0,-1,1,0.756906077348066,0.779661016949153
2,S0087,0,0,1,0.888461538461538,0.931372549019608
