correctDis,pSeen,rt,pSeenFeature,expt,subjectID,attention,stimStrength,stimType,taskType,site
0.958333333333333,0.973958333333333,0.422398446095334,NaN,2,57,1,7,0,1,1
0.552083333333333,0.1875,0.461596611458541,NaN,2,58,-1,1,0,1,1
0.552083333333333,0.1875,0.491871205227653,NaN,2,58,-1,2,0,1,1
0.59375,0.21875,0.481218271876666,NaN,2,58,-1,3,0,1,1
0.510416666666667,0.28125,0.544142810429548,NaN,2,58,-1,4,0,1,1
0.6875,0.291666666666667,0.571329251068164,NaN,2,58,-1,5,0,1,1
0.802083333333333,0.552083333333333,0.657885055203224,NaN,2,58,-1,6,0,1,1
0.739583333333333,0.541666666666667,0.556941750014327,NaN,2,58,-1,7,0,1,1
0.541666666666667,0.0729166666666667,0.529934992705724,NaN,2,58,0,1,0,1,1
0.625,0.145833333333333,0.581751264584454,NaN,2,58,0,2,0,1,1
0.677083333333333,0.291666666666667,0.601849667704907,NaN,2,58,0,3,0,1,1
0.791666666666667,0.447916666666667,0.648546134361216,NaN,2,58,0,4,0,1,1
0.78125,0.541666666666667,0.682261228135152,NaN,2,58,0,5,0,1,1
0.916666666666667,0.708333333333333,0.624383696870912,NaN,2,58,0,6,0,1,1
0.885416666666667,0.677083333333333,0.618395589583088,NaN,2,58,0,7,0,1,1
0.555555555555556,0.0451388888888889,0.317928537158473,NaN,2,58,1,1,0,1,1
0.71875,0.166666666666667,0.342777455550378,NaN,2,58,1,2,0,1,1
0.8125,0.423611111111111,0.381245860768104,NaN,2,58,1,3,0,1,1
0.902777777777778,0.597222222222222,0.389484590630875,NaN,2,58,1,4,0,1,1
0.934027777777778,0.756944444444444,0.373702101740896,NaN,2,58,1,5,0,1,1
0.9375,0.805555555555556,0.3583275868156,NaN,2,58,1,6,0,1,1
0.965277777777778,0.836805555555556,0.367547568741631,NaN,2,58,1,7,0,1,1
0.505263157894737,0.621052631578947,0.466597752638872,NaN,2,59,-1,1,0,1,1
0.53125,0.583333333333333,0.505041570809529,NaN,2,59,-1,2,0,1,1
0.5625,0.65625,0.419727580206503,NaN,2,59,-1,3,0,1,1
0.515789473684211,0.621052631578947,0.476437327358872,NaN,2,59,-1,4,0,1,1
0.614583333333333,0.635416666666667,0.550730116676277,NaN,2,59,-1,5,0,1,1
0.520833333333333,0.677083333333333,0.522780026033312,NaN,2,59,-1,6,0,1,1
0.578947368421053,0.557894736842105,0.610584803189053,NaN,2,59,-1,7,0,1,1
0.708333333333333,0.520833333333333,0.528176208355944,NaN,2,59,0,1,0,1,1
0.552083333333333,0.614583333333333,0.563117171880852,NaN,2,59,0,2,0,1,1
0.614583333333333,0.59375,0.558128088552621,NaN,2,59,0,3,0,1,1
0.59375,0.53125,0.525742243726199,NaN,2,59,0,4,0,1,1
0.572916666666667,0.53125,0.532627613554723,NaN,2,59,0,5,0,1,1
0.6875,0.65625,0.549163671874339,NaN,2,59,0,6,0,1,1
0.65625,0.625,0.593130423955396,NaN,2,59,0,7,0,1,1
0.737762237762238,0.576923076923077,0.439351918532593,NaN,2,59,1,1,0,1,1
0.702797202797203,0.566433566433566,0.478229258731708,NaN,2,59,1,2,0,1,1
0.741258741258741,0.56993006993007,0.468899076928464,NaN,2,59,1,3,0,1,1
0.773519163763066,0.630662020905923,0.428689089538822,NaN,2,59,1,4,0,1,1
0.80565371024735,0.604240282685512,0.475974450525276,NaN,2,59,1,5,0,1,1
0.797909407665505,0.70383275261324,0.473057129965099,NaN,2,59,1,6,0,1,1
0.787456445993031,0.707317073170732,0.432154211841965,NaN,2,59,1,7,0,1,1
NaN,NaN,NaN,NaN,3,60,-1,0,1,0,0
0.4375,0.125,0.448509941498439,0.0625,3,60,-1,1,1,0,0
0.541666666666667,0.208333333333333,0.420636629064878,0.104166666666667,3,60,-1,2,1,0,0
0.625,0.333333333333333,0.499103193481763,0.145833333333333,3,60,-1,3,1,0,0
0.625,0.4375,0.579960092902184,0.25,3,60,-1,4,1,0,0
0.708333333333333,0.520833333333333,0.616876006126404,0.291666666666667,3,60,-1,5,1,0,0
0.6875,0.6875,0.747816021243731,0.375,3,60,-1,6,1,0,0
0.6875,0.708333333333333,0.678079297145208,0.583333333333333,3,60,-1,7,1,0,0
NaN,NaN,NaN,NaN,3,60,0,0,1,0,0
0.541666666666667,0.0625,0.369952693581581,0.0208333333333333,3,60,0,1,1,0,0
0.645833333333333,0.270833333333333,0.493609766165415,0.0833333333333333,3,60,0,2,1,0,0
0.541666666666667,0.291666666666667,0.511412625511487,0.125,3,60,0,3,1,0,0
0.708333333333333,0.479166666666667,0.611774573723475,0.333333333333333,3,60,0,4,1,0,0
0.8125,0.729166666666667,0.625271499156952,0.5,3,60,0,5,1,0,0
0.895833333333333,0.833333333333333,0.594216048717499,0.604166666666667,3,60,0,6,1,0,0
0.979166666666667,1,0.457724387447039,0.979166666666667,3,60,0,7,1,0,0
NaN,NaN,NaN,NaN,3,60,1,0,1,0,0
0.465277777777778,0.0972222222222222,0.273418540755908,0.0277777777777778,3,60,1,1,1,0,0
0.715277777777778,0.430555555555556,0.340985024968783,0.138888888888889,3,60,1,2,1,0,0
0.819444444444444,0.638888888888889,0.377469701899423,0.305555555555556,3,60,1,3,1,0,0
0.861111111111111,0.805555555555556,0.356444516115718,0.541666666666667,3,60,1,4,1,0,0
0.9375,0.895833333333333,0.368663731548521,0.638888888888889,3,60,1,5,1,0,0
0.979166666666667,0.972222222222222,0.391980255643527,0.868055555555556,3,60,1,6,1,0,0
1,1,0.290944218635559,0.986111111111111,3,60,1,7,1,0,0
NaN,NaN,NaN,NaN,3,61,-1,0,1,0,0
0.446428571428571,0.464285714285714,0.564510124070304,0.142857142857143,3,61,-1,1,1,0,0
0.482142857142857,0.375,0.66335141658783,0.107142857142857,3,61,-1,2,1,0,0
0.589285714285714,0.482142857142857,0.609686664172581,0.303571428571429,3,61,-1,3,1,0,0
0.642857142857143,0.589285714285714,0.526799661772592,0.410714285714286,3,61,-1,4,1,0,0
0.660714285714286,0.678571428571429,0.632467257125037,0.5,3,61,-1,5,1,0,0
0.696428571428571,0.767857142857143,0.694278129509517,0.589285714285714,3,61,-1,6,1,0,0
0.857142857142857,0.875,0.726870877402169,0.785714285714286,3,61,-1,7,1,0,0
NaN,NaN,NaN,NaN,3,61,0,0,1,0,0
0.607142857142857,0.339285714285714,0.609493907008852,0.125,3,61,0,1,1,0,0
0.714285714285714,0.571428571428571,0.659599278654371,0.267857142857143,3,61,0,2,1,0,0
0.839285714285714,0.732142857142857,0.632315448352269,0.410714285714286,3,61,0,3,1,0,0
0.75,0.785714285714286,0.595871546438762,0.625,3,61,0,4,1,0,0
0.946428571428571,0.928571428571429,0.591039857694081,0.696428571428571,3,61,0,5,1,0,0
0.910714285714286,0.946428571428571,0.571505503995078,0.803571428571429,3,61,0,6,1,0,0
0.982142857142857,1,0.404251822403499,0.946428571428571,3,61,0,7,1,0,0
NaN,NaN,NaN,NaN,3,61,1,0,1,0,0
0.571428571428571,0.238095238095238,0.351531682979493,0.0654761904761905,3,61,1,1,1,0,0
0.761904761904762,0.5,0.344557151907966,0.303571428571429,3,61,1,2,1,0,0
0.832335329341317,0.718562874251497,0.357834389109811,0.526946107784431,3,61,1,3,1,0,0
0.93452380952381,0.875,0.320653969333285,0.744047619047619,3,61,1,4,1,0,0
0.964285714285714,0.93452380952381,0.310989438068299,0.785714285714286,3,61,1,5,1,0,0
0.988095238095238,0.988095238095238,0.26340222074872,0.946428571428571,3,61,1,6,1,0,0
1,1,0.249410602308455,0.982142857142857,3,61,1,7,1,0,0
NaN,NaN,NaN,NaN,3,62,-1,0,1,0,0
0.5625,0.0833333333333333,0.551002457737923,0.0625,3,62,-1,1,1,0,0
0.541666666666667,0.3125,0.572654868165652,0.1875,3,62,-1,2,1,0,0
0.479166666666667,0.416666666666667,0.689452618360519,0.25,3,62,-1,3,1,0,0
0.520833333333333,0.395833333333333,0.760189866026243,0.208333333333333,3,62,-1,4,1,0,0
0.541666666666667,0.625,0.791865234573682,0.4375,3,62,-1,5,1,0,0
0.666666666666667,0.604166666666667,0.791201581557592,0.458333333333333,3,62,-1,6,1,0,0
0.604166666666667,0.729166666666667,0.73641803363959,0.729166666666667,3,62,-1,7,1,0,0
NaN,NaN,NaN,NaN,3,62,0,0,1,0,0
0.458333333333333,0.145833333333333,0.579590072234472,0.0625,3,62,0,1,1,0,0
0.5625,0.25,0.741719156503677,0.125,3,62,0,2,1,0,0
0.541666666666667,0.541666666666667,0.709967215855916,0.375,3,62,0,3,1,0,0
0.729166666666667,0.604166666666667,0.751241207122803,0.479166666666667,3,62,0,4,1,0,0
0.666666666666667,0.75,0.680741036931674,0.645833333333333,3,62,0,5,1,0,0
0.729166666666667,0.833333333333333,0.711444412668546,0.729166666666667,3,62,0,6,1,0,0
0.8125,0.979166666666667,0.620420421163241,0.916666666666667,3,62,0,7,1,0,0
NaN,NaN,NaN,NaN,3,62,1,0,1,0,0
0.541666666666667,0.229166666666667,0.431995623641544,0.111111111111111,3,62,1,1,1,0,0
0.652777777777778,0.4375,0.44406429429849,0.340277777777778,3,62,1,2,1,0,0
0.763888888888889,0.645833333333333,0.44393046034707,0.486111111111111,3,62,1,3,1,0,0
0.854166666666667,0.743055555555556,0.485500988033083,0.625,3,62,1,4,1,0,0
0.916666666666667,0.916666666666667,0.465680832664172,0.784722222222222,3,62,1,5,1,0,0
0.902777777777778,0.972222222222222,0.435462860597504,0.916666666666667,3,62,1,6,1,0,0
0.895833333333333,1,0.39819024503231,0.986111111111111,3,62,1,7,1,0,0
NaN,NaN,NaN,NaN,3,63,-1,0,1,0,0
0.458333333333333,0.104166666666667,0.785023127992948,0,3,63,-1,1,1,0,0
0.520833333333333,0.3125,0.82813868423303,0.0208333333333333,3,63,-1,2,1,0,0
0.5625,0.229166666666667,0.847707435488701,0,3,63,-1,3,1,0,0
0.583333333333333,0.3125,0.926498691240946,0,3,63,-1,4,1,0,0
0.645833333333333,0.583333333333333,1.04273850222429,0,3,63,-1,5,1,0,0
0.604166666666667,0.604166666666667,1.08038926124573,0.0625,3,63,-1,6,1,0,0
0.75,0.833333333333333,1.29644282658895,0.291666666666667,3,63,-1,7,1,0,0
NaN,NaN,NaN,NaN,3,63,0,0,1,0,0
0.520833333333333,0.166666666666667,0.696526885032654,0,3,63,0,1,1,0,0
0.583333333333333,0.4375,0.938358291983604,0.0208333333333333,3,63,0,2,1,0,0
0.666666666666667,0.604166666666667,0.958813741803169,0.125,3,63,0,3,1,0,0
