site,att,subjectID,lineLength,pCorrect,pStronger
1,-1,17,2,0.614583333333333,0.21875
1,-1,17,3,0.614583333333333,0.34375
1,-1,17,4,0.635416666666667,0.604166666666667
1,-1,17,5,0.677083333333333,0.614583333333333
1,-1,17,6,0.71875,0.833333333333333
1,-1,17,7,0.791666666666667,0.833333333333333
1,-1,18,1,0.55,0.55
1,-1,18,2,0.645569620253165,0.582278481012658
1,-1,18,3,0.7125,0.7375
1,-1,18,4,0.6625,0.725
1,-1,18,5,0.6125,0.675
1,-1,18,6,0.675,0.8
1,-1,18,7,0.7,0.8875
1,-1,19,1,0.6,0.0375
1,-1,19,2,0.7125,0.0625
1,-1,19,3,0.7625,0.15
1,-1,19,4,0.6875,0.1375
1,-1,19,5,0.8375,0.45
1,-1,19,6,0.9125,0.7875
1,-1,19,7,0.925,0.875
1,-1,20,1,0.775,0.5375
1,-1,20,2,0.7875,0.6375
1,-1,20,3,0.8625,0.8625
1,-1,20,4,0.75,0.9125
1,-1,20,5,0.8125,1
1,-1,20,6,0.9375,0.9625
1,-1,20,7,0.925,0.975
1,-1,21,1,0.604166666666667,0.0208333333333333
1,-1,21,2,0.6875,0.0625
1,-1,21,3,0.697916666666667,0.21875
1,-1,21,4,0.645833333333333,0.3125
1,-1,21,5,0.84375,0.541666666666667
1,-1,21,6,0.854166666666667,0.84375
1,-1,21,7,0.9375,0.854166666666667
1,-1,22,1,0.59375,0.0208333333333333
1,-1,22,2,0.65625,0.0625
1,-1,22,3,0.760416666666667,0.03125
1,-1,22,4,0.739583333333333,0.15625
1,-1,22,5,0.739583333333333,0.322916666666667
1,-1,22,6,0.854166666666667,0.604166666666667
1,-1,22,7,0.854166666666667,0.739583333333333
1,-1,23,1,0.604166666666667,0.0729166666666667
1,-1,23,2,0.489583333333333,0.114583333333333
1,-1,23,3,0.625,0.1875
1,-1,23,4,0.625,0.270833333333333
1,-1,23,5,0.677083333333333,0.322916666666667
1,-1,23,6,0.760416666666667,0.791666666666667
1,-1,23,7,0.708333333333333,0.90625
1,-1,24,1,0.75,0.05
1,-1,24,2,0.8,0.1125
1,-1,24,3,0.85,0.1625
1,-1,24,4,0.8875,0.1625
1,-1,24,5,0.9125,0.3125
1,-1,24,6,0.95,0.65
1,-1,24,7,0.9375,0.825
1,-1,25,1,0.525,0.05
1,-1,25,2,0.6125,0.1125
1,-1,25,3,0.6375,0.2125
1,-1,25,4,0.6875,0.375
1,-1,25,5,0.8125,0.7625
1,-1,25,6,0.825,0.925
1,-1,25,7,0.875,0.925
1,-1,26,1,0.5625,0.171875
1,-1,26,2,0.71875,0.359375
1,-1,26,3,0.828125,0.546875
1,-1,26,4,0.765625,0.546875
1,-1,26,5,0.90625,0.828125
1,-1,26,6,0.921875,0.9375
1,-1,26,7,0.984375,1
1,-1,27,1,0.5859375,0.0390625
1,-1,27,2,0.609375,0.078125
1,-1,27,3,0.609375,0.0703125
1,-1,27,4,0.671875,0.15625
1,-1,27,5,0.6796875,0.2578125
